file,path,algo,seed,num_vars,num_clauses,best_c,cpu_time
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,1,20,91,91,0.002138
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,2,20,91,91,0.000866
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,3,20,91,91,0.001793
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,4,20,91,91,0.001187
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,5,20,91,91,0.001002
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,6,20,91,91,0.000602
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,7,20,91,91,0.002698
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,8,20,91,91,0.000747
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,9,20,91,91,0.000875
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,10,20,91,91,0.000659
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,1,20,91,91,0.001392
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,2,20,91,91,0.004683
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,3,20,91,91,0.002063
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,4,20,91,91,0.001035
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,5,20,91,91,0.000779
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,6,20,91,91,0.001078
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,7,20,91,91,0.003434
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,8,20,91,91,0.002368
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,9,20,91,91,0.006401
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,walksat,10,20,91,91,0.001539
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,1,20,91,91,0.001289
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,2,20,91,91,0.000484
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,3,20,91,91,0.000339
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,4,20,91,91,0.001879
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,5,20,91,91,0.000656
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,6,20,91,91,0.000820
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,7,20,91,91,0.000442
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,8,20,91,91,0.002928
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,9,20,91,91,0.000863
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,walksat,10,20,91,91,0.001421
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,1,20,91,91,0.009809
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,2,20,91,91,0.003127
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,3,20,91,91,0.004001
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,4,20,91,91,0.000584
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,5,20,91,91,0.001044
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,6,20,91,91,0.001428
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,7,20,91,91,0.002457
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,8,20,91,91,0.001502
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,9,20,91,91,0.002034
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,walksat,10,20,91,91,0.002564
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,1,50,218,218,0.083531
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,2,50,218,218,0.048215
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,3,50,218,218,0.174397
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,4,50,218,218,0.011366
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,5,50,218,218,0.029276
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,6,50,218,218,0.042319
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,7,50,218,218,0.107853
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,8,50,218,218,0.070889
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,9,50,218,218,0.018452
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,walksat,10,50,218,218,0.114854
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,1,50,218,218,0.020815
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,2,50,218,218,0.124524
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,3,50,218,218,0.018818
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,4,50,218,218,0.267882
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,5,50,218,218,0.144265
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,6,50,218,218,0.005965
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,7,50,218,218,0.013173
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,8,50,218,218,0.264419
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,9,50,218,217,0.317568
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,walksat,10,50,218,217,0.330371
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,1,50,218,217,0.310705
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,2,50,218,218,0.055579
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,3,50,218,218,0.115732
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,4,50,218,218,0.156096
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,5,50,218,217,0.314454
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,6,50,218,217,0.313378
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,7,50,218,217,0.308203
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,8,50,218,217,0.318841
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,9,50,218,217,0.310497
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,walksat,10,50,218,217,0.314706
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,1,50,218,218,0.007308
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,2,50,218,218,0.040955
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,3,50,218,218,0.006031
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,4,50,218,218,0.031649
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,5,50,218,218,0.010233
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,6,50,218,218,0.005691
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,7,50,218,218,0.061925
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,8,50,218,218,0.027470
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,9,50,218,218,0.008905
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,walksat,10,50,218,218,0.021663
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,1,50,218,217,0.321863
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,2,50,218,218,0.169824
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,3,50,218,218,0.285690
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,4,50,218,218,0.272718
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,5,50,218,218,0.086362
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,6,50,218,218,0.218462
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,7,50,218,218,0.048118
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,8,50,218,218,0.023934
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,9,50,218,218,0.027210
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,walksat,10,50,218,218,0.071097
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,1,50,218,218,0.016880
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,2,50,218,218,0.007929
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,3,50,218,218,0.011054
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,4,50,218,218,0.011259
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,5,50,218,218,0.008273
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,6,50,218,218,0.025618
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,7,50,218,218,0.024100
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,8,50,218,218,0.034664
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,9,50,218,218,0.003493
uf50-05.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-05.cnf,walksat,10,50,218,218,0.006222
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,1,50,218,217,0.316636
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,2,50,218,218,0.239844
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,3,50,218,217,0.314975
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,4,50,218,217,0.320724
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,5,50,218,217,0.317975
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,6,50,218,217,0.318149
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,7,50,218,217,0.312387
